name,display_name,journal_id,abbrev_flag
法制史研究,法史,JOURNAL-V8B09M,0
法史,法史,JOURNAL-V8B09M,1
法哲学年報,法哲,JOURNAL-SC617J,0
法哲,法哲,JOURNAL-SC617J,1
法学（東北帝国大学法学会）,法学,JOURNAL-VLKH0Z,0
法学,法学,JOURNAL-VLKH0Z,1
法学セミナー,法セ,JOURNAL-QLGKCQ,0
法セ,法セ,JOURNAL-QLGKCQ,1
法セミ,法セ,JOURNAL-QLGKCQ,1
法学教室,法教,JOURNAL-GY8KG1,0
法教,法教,JOURNAL-GY8KG1,1
法学新報,法学新報,JOURNAL-YOQQPA,0
法律のひろば,ひろば,JOURNAL-UIA5G2,0
ひろば,ひろば,JOURNAL-UIA5G2,1
法律評論,評論,JOURNAL-4XYTPU,0
法律学説判例評論全集,評論,JOURNAL-4XYTPU,0
評論,評論,JOURNAL-4XYTPU,1
評論全集,評論,JOURNAL-4XYTPU,1
法律評論全集,評論,JOURNAL-4XYTPU,1
法律新報,法律新報,JOURNAL-4C0L2K,0
法律新聞,新聞,JOURNAL-8VVOCJ,0
新聞,新聞,JOURNAL-8VVOCJ,1
法律時報,法時,JOURNAL-QBUNCN,0
法時,法時,JOURNAL-QBUNCN,1
法曹,法曹,JOURNAL-GDNOST,0
法曹時報,曹時,JOURNAL-0FBBCV,0
曹時,曹時,JOURNAL-0FBBCV,1
法曹新聞,法曹新聞,JOURNAL-B62071,0
法社会学,法社,JOURNAL-L0T7VQ,0
法社,法社,JOURNAL-L0T7VQ,1
海事法研究会誌,海事法研究会誌,JOURNAL-6UWVJI,0
無体財産権関係民事・行政裁判例集,無体裁集,JOURNAL-0M4ZH5,0
無体集,無体裁集,JOURNAL-0M4ZH5,1
無体例集,無体裁集,JOURNAL-0M4ZH5,1
無体裁集,無体裁集,JOURNAL-0M4ZH5,1
特許と企業,特許と企業,JOURNAL-GAL6P0,0
特許研究,特研,JOURNAL-F3J56O,0
特研,特研,JOURNAL-F3J56O,1
特許管理,特許管理,JOURNAL-UQGJL4,0
特許管理別冊判例集,特許管理,JOURNAL-UQGJL4,0
特許,特許管理,JOURNAL-UQGJL4,1
犯罪と非行,犯非,JOURNAL-U86T27,0
犯非,犯非,JOURNAL-U86T27,1
現代刑事法,現刑,JOURNAL-56XXKW,0
現刑,現刑,JOURNAL-56XXKW,1
生命保険協会会報,生保,JOURNAL-OJGPVF,0
生保,生保,JOURNAL-OJGPVF,1
生保会報,生保,JOURNAL-OJGPVF,1
登記先例解説集,登記先例解説集,JOURNAL-BA1L3V,0
登記情報,登情,JOURNAL-VJJG7X,0
登情,登情,JOURNAL-VJJG7X,1
登記研究,登研,JOURNAL-Q301HJ,0
登研,登研,JOURNAL-Q301HJ,1
登記関係先例集,登記先例,JOURNAL-DLD88F,0
登記先例,登記先例,JOURNAL-DLD88F,1
直税国税課税判決要旨集,直税要集,JOURNAL-QXSG1F,0
直税要集,直税要集,JOURNAL-QXSG1F,1
